id,fecha,iniciativa,lideres,dominio,formato,region,idioma,descripcion,fuente
11,2024-03-17,Girls in Quantum mission launch activities,Elisa Torres Durney,computacion_cuantica,comunidad,global,ingles,Comunidad internacional para acercar computación cuántica a niñas y mujeres jóvenes.,https://www.girlsinquantum.com/
12,2024-06-10,Quantum.Tech Europe women panel,Diya Nair; Sophia Velásquez,computacion_cuantica,panel,europa,ingles,Participación en paneles de divulgación sobre carrera e innovación cuántica.,https://www.girlsinquantum.com/news
13,2024-11-22,GiQ Quantum Conversations episode,Paulina Assmann; Elisa Torres Durney,computacion_cuantica,podcast,global,ingles,Conversaciones públicas para explicar conceptos cuánticos y salidas profesionales.,https://www.girlsinquantum.com/news
14,2025-01-23,GiQ Quantum Conversations with industry,Carla Hermann; Elisa Torres Durney,computacion_cuantica,podcast,global,ingles,Episodios educativos sobre aplicaciones de computación cuántica.,https://www.girlsinquantum.com/news
15,2025-02-13,Hackatón de Mujeres LATAM en Qiskit,Nafisa Katumba; Sophia Velásquez,computacion_cuantica,hackaton,latam,espanol,Evento práctico de aprendizaje y divulgación de computación cuántica para mujeres LATAM.,https://www.girlsinquantum.com/news
16,2025-07-30,Q-volution conference,Sophia Velásquez; Elisa Torres Durney,computacion_cuantica,conferencia,global,ingles,Conferencia de divulgación científica sobre tecnologías cuánticas emergentes.,https://www.girlsinquantum.com/news
17,2025-09-17,Quantum.Tech Europe 2025 representation,Nafisa Katumba; Diya Nair; Sophia Velásquez,computacion_cuantica,panel,europa,ingles,Vocería y comunicación pública sobre acceso de mujeres a carreras cuánticas.,https://www.girlsinquantum.com/news
18,2025-07-16,Female FutureTech Summit quantum talks,Sophia Velásquez,computacion_cuantica,conferencia,global,ingles,Divulgación sobre liderazgo femenino y educación cuántica.,https://www.girlsinquantum.com/news
19,2025-06-17,Women in Quantum Symposium (IAPS),Nathalie Miebach; Alessia Succi; Yoshie Matsuzaki,computacion_cuantica,simposio,global,ingles,Simposio global sobre investigación y transferencia en tecnologías cuánticas.,https://iaps.ai/research-center/women-in-quantum
20,2025-07-15,NCWIT Step into Quantum webinar,Margaret Martonosi,computacion_cuantica,webinar,usa,ingles,Webinar divulgativo para estudiantes sobre fundamentos y carreras cuánticas.,https://wpassets.ncwit.org/wp-content/uploads/2025/04/30121516/NCWIT-Webinar-Speaker-Info_Margaret-Martonosi.pdf
21,2025-06-05,Women for Quantum workshop 2025,Marta Povi Solà; Anna M. Puig,computacion_cuantica,taller,europa,ingles,Taller para visibilizar trayectorias y colaboración científica en computación cuántica.,https://agenda.uib.es/100176/detail/women-for-quantum-workshop.html
22,2026-06-04,Women for Quantum workshop 2026,Marta Povi Solà; Anna M. Puig,computacion_cuantica,taller,europa,ingles,Continuidad anual de comunidad y divulgación para mujeres en tecnologías cuánticas.,https://agenda.uib.es/100176/detail/women-for-quantum-workshop.html
23,2024-09-01,SheQuantum community expansion,Nithyasri Gopal,computacion_cuantica,comunidad,global,ingles,Red global de formación y mentoría para mujeres en computación cuántica.,https://shequantum.org/
24,2025-08-01,WISER Quantum + AI summer program,Anna Yashina,computacion_cuantica,curso,global,ingles,Programa de capacitación intensiva en computación cuántica e IA para talento emergente.,https://www.thewiser.org/
25,2024-08-01,WISER/Womanium scholarship outreach,Anna Yashina,computacion_cuantica,becas,global,ingles,Becas y divulgación educativa para ampliar acceso femenino a tecnologías cuánticas.,https://www.thewiser.org/
26,2026-03-05,Women in Quantum open mentoring,Community leaders in Women in Quantum,computacion_cuantica,mentoria,global,ingles,Mentorías abiertas y sesiones públicas de preguntas sobre investigación cuántica.,https://iaps.ai/research-center/women-in-quantum
